Epoch,Composite Loss,PDE Loss,w0 Loss,wx0 Loss,wL Loss,wxxL Loss,wxxxL Loss
146,4.569327302306192e-06,2.284663651153096e-06,1.6771439277363243e-06,1.3733584935948784e-08,1.3604487492102635e-07,1.1500509877748755e-08,4.4191591541675734e-07
147,4.570525561575778e-06,2.2852625534142135e-06,1.6594702856309596e-06,1.9040387044810814e-08,1.375093745537015e-07,2.5172845141696598e-08,4.3957098228020186e-07
148,1.0548335012572352e-05,5.274167506286176e-06,1.9690498902491527e-06,5.350469791665091e-07,4.845354055760254e-07,1.784390747161524e-06,4.923160759062739e-07
149,9.2159707492101e-06,4.60798537460505e-06,1.9202957446395885e-06,4.1124573613160464e-07,4.1537364836585766e-07,1.4054556913833949e-06,4.467028134058637e-07
150,5.727561529056402e-06,2.863780764528201e-06,1.705216959635436e-06,1.2464992948935105e-07,2.013964177649541e-07,3.907576342498942e-07,4.368656902897783e-07
151,4.763245669892058e-06,2.3816230623197043e-06,1.6218388054767274e-06,4.662680908040784e-08,1.4800491499045165e-07,1.181070601319334e-07,4.421393953180086e-07
152,4.519114099821309e-06,2.2595570499106543e-06,1.5897633147687884e-06,2.9504127141422032e-08,1.3748581295658369e-07,5.976584560585252e-08,4.381804217246099e-07
153,4.334763616498094e-06,2.1673815808753716e-06,1.5666240642531193e-06,1.676704819431052e-08,1.3168293833132338e-07,2.0162051583838547e-08,4.2696123614405224e-07
154,4.250324309396092e-06,2.125162154698046e-06,1.5470852758880937e-06,1.2536992777256728e-08,1.320662192938471e-07,9.066795314538467e-09,4.1866795186251693e-07
155,4.196046575088985e-06,2.098023514918168e-06,1.525343350294861e-06,1.3062896542237468e-08,1.3079457517051196e-07,6.85812118206286e-09,4.160615958426206e-07
156,4.127551619603764e-06,2.063775809801882e-06,1.5062422562550637e-06,1.1006361155807554e-08,1.2979594998796529e-07,1.1672692812325636e-09,4.0926096289695124e-07
