Epoch;Composite Loss;PDE Loss;w0 Loss;wx0 Loss;wL Loss;wxxL Loss;wxxxL Loss
95;3,04E-05;1,52E-05;9,10E-06;6,41E-08;4,38E-07;2,57E-07;1,32E-06
96;3,01E-05;1,51E-05;9,06E-06;6,59E-08;4,39E-07;1,71E-07;1,30E-06
97;3,19E-05;1,60E-05;9,05E-06;9,87E-08;7,58E-07;7,30E-07;1,31E-06
98;3,06E-05;1,53E-05;8,97E-06;6,62E-08;4,65E-07;4,13E-07;1,34E-06
99;3,01E-05;1,50E-05;8,96E-06;7,34E-08;4,95E-07;1,93E-07;1,30E-06
100;3,04E-05;1,52E-05;8,91E-06;7,58E-08;5,29E-07;3,50E-07;1,32E-06
101;2,98E-05;1,49E-05;8,85E-06;6,58E-08;4,33E-07;1,76E-07;1,32E-06
102;3,02E-05;1,51E-05;8,82E-06;7,91E-08;5,45E-07;2,87E-07;1,31E-06
103;3,28E-05;1,64E-05;8,82E-06;1,19E-07;9,28E-07;1,11E-06;1,34E-06
104;2,99E-05;1,49E-05;8,75E-06;6,66E-08;4,43E-07;2,72E-07;1,33E-06
105;2,99E-05;1,50E-05;8,74E-06;7,96E-08;5,41E-07;2,51E-07;1,31E-06
106;2,96E-05;1,48E-05;8,68E-06;6,66E-08;4,36E-07;1,90E-07;1,33E-06
107;2,95E-05;1,47E-05;8,64E-06;7,20E-08;4,74E-07;1,50E-07;1,32E-06
108;3,12E-05;1,56E-05;8,64E-06;1,08E-07;7,85E-07;6,81E-07;1,32E-06
109;3,15E-05;1,57E-05;8,60E-06;9,70E-08;7,12E-07;8,48E-07;1,36E-06
110;2,98E-05;1,49E-05;8,58E-06;8,26E-08;5,58E-07;2,72E-07;1,31E-06
111;2,98E-05;1,49E-05;8,55E-06;7,82E-08;5,28E-07;3,04E-07;1,33E-06
112;2,92E-05;1,46E-05;8,50E-06;6,92E-08;4,51E-07;1,45E-07;1,33E-06
113;2,95E-05;1,47E-05;8,47E-06;8,07E-08;5,41E-07;2,21E-07;1,32E-06
114;3,25E-05;1,62E-05;8,48E-06;1,36E-07;1,01E-06;1,14E-06;1,34E-06
115;3,00E-05;1,50E-05;8,42E-06;7,68E-08;5,24E-07;4,83E-07;1,36E-06
116;2,95E-05;1,48E-05;8,42E-06;8,75E-08;5,89E-07;2,52E-07;1,30E-06
117;2,94E-05;1,47E-05;8,38E-06;7,54E-08;5,01E-07;2,71E-07;1,33E-06
118;2,90E-05;1,45E-05;8,34E-06;7,33E-08;4,80E-07;1,45E-07;1,32E-06
119;2,97E-05;1,48E-05;8,32E-06;9,11E-08;6,21E-07;3,33E-07;1,32E-06
120;3,32E-05;1,66E-05;8,34E-06;1,54E-07;1,13E-06;1,47E-06;1,35E-06
121;2,95E-05;1,47E-05;8,28E-06;7,75E-08;5,15E-07;3,64E-07;1,34E-06
122;2,94E-05;1,47E-05;8,29E-06;8,75E-08;5,86E-07;2,83E-07;1,31E-06
123;2,89E-05;1,44E-05;8,23E-06;7,12E-08;4,63E-07;1,74E-07;1,33E-06
124;2,90E-05;1,45E-05;8,20E-06;8,06E-08;5,33E-07;1,78E-07;1,32E-06
125;2,99E-05;1,49E-05;8,18E-06;9,84E-08;6,73E-07;4,64E-07;1,32E-06
126;3,06E-05;1,53E-05;8,17E-06;1,11E-07;7,70E-07;7,33E-07;1,34E-06
127;2,89E-05;1,45E-05;8,13E-06;7,52E-08;4,93E-07;2,36E-07;1,33E-06
128;2,87E-05;1,44E-05;8,11E-06;7,81E-08;5,11E-07;1,52E-07;1,31E-06
129;3,04E-05;1,52E-05;8,11E-06;1,16E-07;8,05E-07;6,24E-07;1,31E-06
130;3,38E-05;1,69E-05;8,13E-06;1,64E-07;1,18E-06;1,79E-06;1,37E-06
131;3,00E-05;1,50E-05;8,13E-06;1,11E-07;7,49E-07;5,38E-07;1,29E-06
132;2,90E-05;1,45E-05;8,09E-06;7,60E-08;4,95E-07;3,00E-07;1,32E-06
