Epoch,Composite Loss,output_1_loss_Loss_CantileverPINN,output_1_loss_Loss_CantileverPINN_tuned,output_2_loss_Loss_CantileverPINN,output_2_loss_Loss_CantileverPINN_tuned,output_3_loss_Loss_CantileverPINN,output_3_loss_Loss_CantileverPINN_tuned,output_4_loss_Loss_CantileverPINN,output_4_loss_Loss_CantileverPINN_tuned,output_5_loss_Loss_CantileverPINN,output_5_loss_Loss_CantileverPINN_tuned,output_6_loss_Loss_CantileverPINN,output_6_loss_Loss_CantileverPINN_tuned
56,3.316120000818046e-06,1.658060000409023e-06,5.14471139467787e-06,2.650237718171411e-07,4.961507897860429e-07,5.38058429810917e-07,4.630831426766235e-06,7.925731893010379e-07,4.4129150333915845e-10,4.153939059392542e-08,1.1894812246282527e-08,2.0864247218810306e-08,5.394919178058899e-09
57,3.3854726098070387e-06,1.6927363049035193e-06,4.071929197380086e-06,3.066216720526427e-07,4.913342195322912e-07,3.418657570364303e-07,3.5629070680442965e-06,9.599027634976665e-07,4.72776484627957e-10,5.6626078048793715e-08,1.188544551666837e-08,2.772051388433283e-08,5.3267839028592334e-09
58,1.771638153513777e-06,8.858190767568885e-07,3.7951936064928304e-06,1.5910082140635495e-07,4.862717446485476e-07,4.342890349562367e-07,3.291884922873578e-06,2.6634714345163957e-07,5.146544301837253e-10,1.7910389615849454e-08,1.1476388728226539e-08,8.171755716546159e-09,5.050146079099704e-09
59,2.808690169331385e-06,1.4043450846656924e-06,4.2666874833230395e-06,2.7175954642189026e-07,4.818945171791711e-07,4.815186116502446e-07,3.7678482840419747e-06,5.945332759438315e-07,4.883458637472415e-10,3.292827344125726e-08,1.1175242065064594e-08,2.3605602805787385e-08,5.2814113082888525e-09
60,2.381108970439527e-06,1.1905544852197636e-06,4.9447435230831616e-06,2.2695965640195936e-07,4.775732804773725e-07,3.585610102163628e-07,4.450287633517291e-06,5.55522433387523e-07,6.112926831391974e-10,3.2054931153879807e-08,1.119450665498789e-08,1.7456960321737824e-08,5.07749753353437e-09
61,2.53522034654452e-06,1.26761017327226e-06,3.882528744725278e-06,2.2531540366799163e-07,4.730199805180746e-07,4.115732394893712e-07,3.3932033147721086e-06,5.803083240607521e-07,4.696835143036537e-10,3.238880452727244e-08,1.0736723510262891e-08,1.802440330322952e-08,5.0955266672758626e-09
62,3.1719562230136944e-06,1.5859778841331718e-06,3.817160632024752e-06,2.7125418000650825e-07,4.6793189767413423e-07,5.943331871094415e-07,3.3329617963318015e-06,6.583364893231192e-07,4.872231507135893e-10,3.8146772851632704e-08,1.0694508389974544e-08,2.390784281658398e-08,5.085099452628583e-09
63,1.5942498521326343e-06,7.971249260663171e-07,4.045728019264061e-06,1.614989031395453e-07,4.638705490833672e-07,2.3169687324298138e-07,3.565550287021324e-06,3.694936481224431e-07,5.175975203997041e-10,2.376795826819489e-08,1.0685153206679843e-08,1.066780619396468e-08,5.101148836672564e-09
64,2.380858632022864e-06,1.1904295433851075e-06,4.473754870559787e-06,2.3858061126702523e-07,4.591114475260838e-07,4.051143207561836e-07,3.998482952738414e-06,4.930342925035802e-07,4.6329556857571674e-10,3.180008434355841e-08,1.0547828388496328e-08,2.1899758451127127e-08,5.148871551341472e-09
65,2.27459304369404e-06,1.13729652184702e-06,3.704825076056295e-06,2.166624852861787e-07,4.566939537653525e-07,4.247548872626794e-07,3.2328985071217176e-06,4.499501926602534e-07,5.76758973913627e-10,2.7529676316362384e-08,9.967695113743957e-09,1.8399290979687066e-08,4.6896850847133464e-09
66,2.1246460164547898e-06,1.0623230082273949e-06,3.620843926910311e-06,1.785271592780191e-07,4.5103212187314057e-07,4.0536116330258665e-07,3.154280875605764e-06,4.380901259537495e-07,4.684659882236986e-10,2.710060442723261e-08,9.938347922400226e-09,1.3243318441880092e-08,5.122256840905948e-09
67,2.3883408175606746e-06,1.1941704087803373e-06,3.56749751517782e-06,2.1864983068553556e-07,4.480633322145877e-07,4.085208615833835e-07,3.104250481555937e-06,5.171213501853344e-07,4.995103219940233e-10,3.0830101138690225e-08,9.707783021895011e-09,1.9048437494006976e-08,4.972257716673312e-09
68,2.4164501155610196e-06,1.2082251714673475e-06,4.73333966510836e-06,2.0804873201996088e-07,4.435757148257835e-07,5.051826406088367e-07,4.274691491445992e-06,4.4941575083612406e-07,5.354507393029451e-10,2.8486287106943564e-08,9.794472788371422e-09,1.709133101712723e-08,4.742406911617536e-09
69,1.8916422277470701e-06,9.458211138735351e-07,3.477581230981741e-06,1.8418633374039928e-07,4.402106981160614e-07,3.52952014281982e-07,3.0225364753277972e-06,3.705269762122043e-07,4.364986150307004e-10,2.244822461250351e-08,9.439776071928918e-09,1.5707490419458736e-08,4.95475926953759e-09
70,2.5294255010521738e-06,1.2647127505260869e-06,3.3717465157678816e-06,2.658627522578172e-07,4.355403575573291e-07,3.7967777188896434e-07,2.921494797192281e-06,5.531666147362557e-07,4.6100540052051997e-10,3.913977764113952e-08,9.261813538330443e-09,2.6866048941087683e-08,4.987263491074145e-09
71,1.7182420606332016e-06,8.591210303166008e-07,3.317766186228255e-06,1.565849458984303e-07,4.320560549331276e-07,3.6403659464667726e-07,2.871098104151315e-06,3.078533836742281e-07,5.009681003365074e-10,1.9697468545132324e-08,9.281143853456797e-09,1.0948831175028317e-08,4.832407363153379e-09
72,1.8447128695697756e-06,9.223564347848878e-07,4.137086762057152e-06,1.9000329132268234e-07,4.279756353753328e-07,3.643165200628573e-07,3.6944311432307586e-06,3.2892731383071805e-07,5.710212303000617e-10,2.329288051328149e-08,9.198071637683825e-09,1.5815754039749663e-08,4.910490236653686e-09
73,2.0060660972376354e-06,1.0030330486188177e-06,3.2729183203628054e-06,1.6778793110461265e-07,4.2519084786363237e-07,3.406154576168774e-07,2.833462076523574e-06,4.5033633000457485e-07,4.873177417152874e-10,3.204844389870232e-08,8.806388507309748e-09,1.224447743197743e-08,4.971084877070098e-09
74,1.8867235667130444e-06,9.433617833565222e-07,3.3599383186810883e-06,1.8214126384918927e-07,4.2127749111386947e-07,3.9960028175300977e-07,2.924541831816896e-06,3.258691378960066e-07,5.412146841798915e-10,2.0546867318671502e-08,8.910130411265982e-09,1.520393944076659e-08,4.6688719557153036e-09
75,2.3150689685280668e-06,1.157534256890358e-06,3.4483127819839865e-06,2.283517090972964e-07,4.1718865873008326e-07,4.5922686808808066e-07,3.017346898559481e-06,4.156466673066461e-07,5.279580661543548e-10,3.1961693736093366e-08,8.476654933531336e-09,2.234689944202728e-08,4.769326711340227e-09
76,1.6022356703615515e-06,8.011178351807757e-07,3.268633008701727e-06,1.5386403617867472e-07,4.13167441593032e-07,3.554281420292682e-07,2.8416100121830823e-06,2.6095594307662395e-07,4.4944681309999623e-10,1.9248922455972206e-08,8.572164311715369e-09,1.162086249451022e-08,4.8336565861006875e-09
77,1.7295996030952665e-06,8.647998015476333e-07,3.981554073106963e-06,1.6990809115213779e-07,4.0998207850861945e-07,3.329224966819311e-07,3.5580844723881455e-06,3.2551744766351476e-07,5.016347337516436e-10,2.2771576624336376e-08,8.318921551619951e-09,1.367983681888063e-08,4.6651695839727836e-09
78,1.7534061953483615e-06,8.767030976741808e-07,3.196481657141703e-06,1.7546122421663313e-07,4.0627548969496274e-07,3.4142868798880954e-07,2.7766275252361083e-06,3.189389872204629e-07,5.270719971584015e-10,2.5989967511463874e-08,8.211345381425872e-09,1.4884284027516514e-08,4.841298473223787e-09
79,1.620066200302972e-06,8.10033100151486e-07,2.9269588139868574e-06,1.5712903689291124e-07,4.0257833688883693e-07,3.553384146925964e-07,2.5112994990195148e-06,2.616887684325775e-07,4.897748873133878e-10,2.3681668182007343e-08,7.998671947007097e-09,1.2195569887296642e-08,4.593142310937992e-09
80,1.8230920204587164e-06,9.115459533859394e-07,3.2635084608045872e-06,1.6267036073713825e-07,3.9911583371576853e-07,4.0310163740286953e-07,2.8514375571830897e-06,3.095767908689595e-07,4.840351452983782e-10,2.1517275072824305e-08,7.948776747923603e-09,1.4679974569276055e-08,4.52126425187771e-09
81,1.673654423939297e-06,8.368271551262296e-07,2.887983100663405e-06,1.9067104517489497e-07,3.958279251037311e-07,3.206023109214584e-07,2.478809847161756e-06,2.8345257874207164e-07,5.981047324077338e-10,2.403747778600973e-08,7.971785898064354e-09,1.806355243161306e-08,4.7739106001642995e-09
82,1.6188325844268547e-06,8.094162922134274e-07,3.6951087167835794e-06,1.5168774325502454e-07,3.9277145447158546e-07,3.224030251658405e-07,3.29003410115547e-06,3.0141927709337324e-07,5.426316063150693e-10,2.2697056678566696e-08,7.456072204092834e-09,1.1209590589089657e-08,4.3019015016909634e-09
83,1.8424761947244406e-06,9.212380405188014e-07,2.99381554214051e-06,2.0360006658393104e-07,3.8832760651530407e-07,3.894604105880717e-07,2.592429609649116e-06,2.8558915232679283e-07,6.401716379222933e-10,2.4124867437080866e-08,7.685347469532644e-09,1.8463321538320088e-08,4.7335557695760144e-09
84,1.58435977937188e-06,7.9217988968594e-07,2.7205285277887015e-06,1.3544662635922577e-07,3.8493922716043016e-07,3.8663426948915003e-07,2.3232812509377254e-06,2.3986112296370266e-07,4.937508180091754e-10,1.9326968470068095e-08,7.134233648287136e-09,1.0910799375096758e-08,4.679745924107692e-09
